,track_uri,popularity,name,danceability,energy,speechiness,instrumentalness,tempo,sentiment,negative,positive,neutral,lyrics
0,01YROQCnF1AQm7SCWJmD2o,69,This Is Halloween,0.569,0.508,0.0502,0.0,167.624,-0.9812,0.123,0.056,0.821,"[Shadows]
Boys and girls of every age
Wouldn't you like to see something strange?
Come with us and you will see
This, our town of Halloween

[Ghosts]
This is Halloween, this is Halloween
Pumpkins scream in the dead of night
This is Halloween, everybody make a scene
Trick or treat till the neighbors gonna die of fright
It's our town, everybody scream
In this town of Halloween

[Creature Under The Bed]
I am the one hiding under your bed
Teeth ground sharp and eyes glowing red

[Man Under The Stairs]
I am the one hiding under your stairs
Fingers like snakes and spiders in my hair

[Corpses]
This is Halloween, this is Halloween
Halloween! Halloween! Halloween! Halloween!
[Vampires]
In this town we call home
Everyone hail to the pumpkin song

[Mayor]
In this town, don't we love it now?
Everybody's waiting for the next surprise

[Corpses]
Round that corner, man hiding in the trash can
Something's waiting now to pounce, and how you'll...

[Harlequin Demon, Werewolf & Melting Man]
Scream! This is Halloween
Red 'n' black, slimy green

[Werewolf]
Aren't you scared?

[Witches]
Well, that's just fine
Say it once, say it twice
Take a chance and roll the dice
Ride with the moon in the dead of night

[Hanging Tree]
Everybody scream, everybody scream
[Hanged Men]
In our town of Halloween!

[Clown]
I am the clown with the tear-away face
Here in a flash and gone without a trace

[Second Ghoul]
I am the ""who"" when you call, ""Who's there?""

[Wind]
I am the wind blowing through your hair

[Oogie Boogie Shadow]
I am the shadow on the moon at night
Filling your dreams to the brim with fright

[Corpses]
This is Halloween, this is Halloween
Halloween! Halloween! Halloween! Halloween!
Halloween! Halloween!

[Child Corpse Trio]
Tender lumplings everywhere
Life's no fun without a good scare
[Parent Corpses]
That's our job, but we're not mean
In our town of Halloween

[Corpses]
In this town

[Mayor]
Don't we love it now?
Everyone's waiting for the next surprise

[Corpses]
Skeleton Jack might catch you in the back
And scream like a banshee
Make you jump out of your skin
This is Halloween, everybody scream

[Hanging Tree & Hanged Men]
Won't ya please make way for a very special guy?

[Corpses]
Our man Jack is King of the Pumpkin patch
Everyone hail to the Pumpkin King now!

[Everyone]
This is Halloween, this is Halloween
Halloween! Halloween! Halloween! Halloween!

[Corpse Child Trio]
In this town we call home
Everyone hail to the pumpkin song

[Everyone]
La, la, la, (Halloween! Halloween!)
La-la-la, la, la (Halloween! Halloween!)
La-la-la, la, la, (Halloween! Halloween!)
La-la-la, la-la-la, hey!8EmbedShare URLCopyEmbedCopy"
1,3fytQQcjEOWXlvI9BDXVcK,62,What's This?,0.518,0.473,0.0753,1.44e-05,81.486,0.6567,0.096,0.105,0.8,"[JACK]
What's this? What's this?
There's color everywhere
What's this? There's white things in the air
What's this? I can't believe my eyes
I must be dreaming, wake up, Jack, this isn't fair
What's this?
What's this? What's this?
There's something very wrong
What's this? There's people singing songs
What's this? The streets are lined with little creatures laughing
Everybody seems so happy
Have I possibly gone daffy? What is this?
What's this?

There's children throwing snowballs
Instead of throwing heads
They're busy building toys
And absolutely no one's dead
There's frost on every window
Oh, I can't believe my eyes
And in my bones, I feel the warmth
That's coming from inside

Oh, look, what's this?
They're hanging mistletoe
They kiss? Why, that looks so unique
Inspired! They're gathering around to hear a story
Roasting chestnuts on a fire, what's this?
What's this in here? They've got a little tree
How queer! And who would ever think?
And why? They're covering it with tiny little things
They've got electric lights on strings
And there's a smile on everyone, so now correct me if I'm wrong
This looks like fun, this looks like fun
Oh, could it be I got my wish? What's this?
Oh my, what now?
The children are asleep
But look, there's nothing underneath
No ghouls, no witches here to scream
And scare them or ensnare them
Only little cozy things, secure inside their dreamland
Ahh…
…What's this?

The monsters are all missing
And the nightmares can't be found
And in their place, there seems to be
Good feeling all around
Instead of screams, I swear
I can hear music in the air
The smell of cakes and pies
Are absolutely everywhere

The sights, the sounds
They're everywhere and all around
I've never felt so good before
This empty place inside of me is filling up
I simply cannot get enough
I want it, oh, I want it, oh, I want it for my own
I've got to know, I've got to know
What is this place that I have found?
What is this?
(spoken)
Christmas Town? Hmm...3EmbedShare URLCopyEmbedCopy"
2,1TctVlWvNpmKGHMuPqJ5G2,61,Oogie Boogie's Song,0.5,0.435,0.288,1.22e-06,109.796,0.7402,0.064,0.088,0.848,"[Oogie Boogie, Three Bats & Seven Lizards]
Well, well, well, what have we here?
Sandy Claws, huh?
Oh, I'm really scared
So you're the one everybody's talkin' about, ha, ha

You're jokin', you're jokin'
I can't believe my eyes
You're jokin' me, you gotta be
This can't be the right guy
He's ancient, he's ugly
I don't know which is worse
I might just split a seam now
If I don't die laughing first

When Mr. Oogie Boogie says
There's trouble close at hand
You'd better pay attention now
Cause I'm the Boogie Man
And if you aren't shakin'
Then there's something very wrong
Cause this may be the last time now
That you hear the boogie song, ohhh

Ohhh
Ohhh
Ohhh
Ohhh
Ohhh, he's the Oogie Boogie Man
[Oogie Boogie]
Well if I'm feelin' antsy
And there's nothin' much to do
I might just cook a special batch
Of snake and spider stew
And don't ya know the one thing
That would make it work so nice?
A roly-poly Sandy Claws to add a little spice

[Oogie Boogie, Three Skeletons & Three Bats]
Ohhh
Oh, yeah
Ohhh
Ohhh
Ohhh

[Oogie Boogie & Three Skeletons]
Oh, yeah, I'm (He's) the Oogie Boogie Man

[Santa]
Release me now
Or you must face the dire consequences
The children are expecting me
So please, come to your senses

[Oogie Boogie]
You're jokin', you're jokin'
I can't believe my ears
Would someone shut this fella up
I'm drownin' in my tears
It's funny, I'm laughing
You really are too much
And now, with your permission
I'm going to do my stuff
[Santa]
What are you going to do?

[Oogie Boogie]
I'm gonna do the best I can

Oh, the sound of rollin' dice
To me is music in the air
Cause I'm a gamblin' Boogie Man
Although I don't play fair

It's much more fun, I must confess
When lives are on the line
Not mine, of course, but yours, old boy
Now that'd be just fine

[Santa]
Release me fast or you will have to
Answer for this heinous act

[Oogie Boogie]
Oh, brother, you're something
You put me in a spin
You aren't comprehending
The position that you're in
It's hopeless, you're finished
You haven't got a prayer
Cause I'm Mr. Oogie Boogie
And you ain't going nowhere2EmbedShare URLCopyEmbedCopy"
3,1xQBlIIAZZtekq4pyCp2Lw,0,Friends on the Other Side ,0.363,0.622,0.0982,0.000156,81.198,0.995,0.034,0.153,0.813,"[DR. FACILIER]
Don't you disrespect me, little man!
Don't you derogate or deride
You're in my world now, not your world
And I got friends on the other side

[SPIRITS]
He's got friends on the other side

[DR. FACILIER, spoken]
That's an echo, gentlemen
Just a little something we have here in Louisiana
A little parlor trick, don't worry...

(sung)
Sit down at my table
Put your minds at ease
If you relax, it will enable me
To do anything I please
I can read your future
I can change it 'round some, too
I'll look deep into your heart and soul

(spoken)
You do have a soul, don't you Lawrence?
(sung)
Make your wildest dreams come true
I got voodoo, I got hoodoo
I got things I ain't even tried
And I got friends on the other side

[SPIRITS]
He's got friends on the other side

[DR. FACILIER]
The cards, the cards, the cards will tell
The past, the present and the future as well
The cards, the cards, just take three
Take a little trip into your future with me

Now you, young man, are from across the sea
You come from two long lines of royalty

(spoken)
I'm a royal myself, on my mother's side

(sung)
Your lifestyle's high
But your funds are low
You need to marry a little honey whose daddy got dough
(spoken)
Mom and Dad cut you off, huh, playboy?
Now y'all gotta get hitched. But hitchin' ties you down
You just wanna be free, hop from place to place
But freedom takes green

(sung)
It's the green, it's the green, it's the green you need
And when I look into your future, it's the green that I seen
On you, little man, I don't wanna waste much time
You been pushed 'round all your life
You been pushed 'round by your mother and your sister and your brother
And if you was married
You'd be pushed 'round by your wife
But in your future, the you I see
Is exactly the man you always wanted to be

(spoken)
Shake my hand
Come on, boys, won't you shake a poor sinner's hand?

[Naveen and Lawrence shake Dr. Facilier's hands.]

[DR. FACILIER]
Yes...
Are you ready?
[SPIRITS]
Are you ready?

[DR. FACILIER]
Are you ready?
Transformation Central

[SPIRITS]
Transformation Central!

[DR. FACILIER]
Reformation Central

[SPIRITS]
Reformation Central!

[DR. FACILIER]
Transmogrification Central
Can you feel it?
You're changin', you're changin', you're changin', all right
I hope you're satisfied
But if you ain't, don't blame me
You can blame my friends on the other side

[SPIRITS]
You got what you wanted
But you lost what you had

[DR. FACILIER]
Hush...7EmbedShare URLCopyEmbedCopy"
4,1lOSxJNCLvWm2bYaTcTSmK,62,Mother Knows Best ,0.403,0.259,0.166,1.61e-06,69.283,0.9963,0.121,0.244,0.635,"[MOTHER GOTHEL, spoken]
You want to go outside? Why, Rapunzel...
Look at you, as fragile as a flower
Still a little sapling, just a sprout

(sung)
You know why we stay up in this tower

[RAPUNZEL, spoken]
I know, but—

[MOTHER GOTHEL]
That's right, to keep you safe and sound, dear
Guess I always knew this day was coming
Knew that soon you'd want to leave the nest
Soon, but not yet

[RAPUNZEL, spoken]
But—

[MOTHER GOTHEL]
Shh!
Trust me, pet
Mother knows best

Mother knows best, listen to your mother
It's a scary world out there
Mother knows best, one way or another
Something will go wrong, I swear
Ruffians, thugs, poison ivy, quicksand
Cannibals and snakes
The plague
[RAPUNZEL, spoken]
No!

[MOTHER GOTHEL]
Yes!

[RAPUNZEL, spoken]
But—

[MOTHER GOTHEL]
Also large bugs
Men with pointy teeth, and
Stop, no more, you'll just upset me
Mother's right here, Mother will protect you
Darling, here's what I suggest
Skip the drama, stay with mama
Mother knows best

Go ahead, get trampled by a rhino
Go ahead, get mugged and left for dead
Me, I'm just your mother, what do I know?
I only bathed and changed and nursed you
Go ahead and leave me, I deserve it
Let me die alone here, be my guest
When it's too late, you'll see, just wait
Mother knows best
Mother knows best, take it from your mumsy
On your own, you won't survive
Sloppy, underdressed, immature, clumsy
Please, they'll eat you up alive
Gullible, naïve, positively grubby
Ditzy and a bit, well, hmm, vague
Plus, I believe, gettin' kinda chubby
I'm just saying 'cause I wuv you
Mother understands, Mother's here to help you
All I have is one request

(spoken)
Rapunzel?

[RAPUNZEL, spoken]
Yes?

[MOTHER GOTHEL, spoken]
Don't ever ask to leave this tower again

[RAPUNZEL, spoken]
Yes, Mother

[MOTHER GOTHEL, spoken]
I love you very much, dear
[RAPUNZEL, spoken]
I love you more

[MOTHER GOTHEL, spoken]
I love you most

(sung)
Don't forget it, you'll regret it
Mother knows best1EmbedShare URLCopyEmbedCopy"
5,6BGIYRM9XSFgbQrBtsxuQa,51,Grim Grinning Ghosts ,0.416,0.6,0.133,0.0,120.081,-0.9881,0.188,0.133,0.679,"[GHOST HOST]
(spoken)
When hinges creak in doorless chambers
And strange and frightening sounds
Echo through the halls
Whenever candlelights flicker
Where the air is deathly still
That is the time when ghosts are present
Practicing their ghoulish delight

(organ solo)

[SINGING BUSTS]
When the crypt doors creak
And the tombstones quake
Spooks come out for a swinging wake
Happy haunts materialize
And begin to vocalize
Grim grinning ghosts come out to socialize

Now don't close your eyes
And don't try to hide
Or a silly spook may sit by your side
Shrouded in a daft disguise
They pretend to terrorize
Grim grinning ghosts come out to socialize
As the moon climbs high o'er the dead oak tree
Spooks arrive for the midnight spree
Creepy creeps with eerie eyes
Start to shriek and harmonize
Grim grinning ghosts come out to socialize

When you hear the knell of a requiem bell
Weird glows gleam where spirits dwell
Restless bones etherialize
Rise as spooks of every size

[DUCHESS and KING]
When the crypt doors creak
And the tombstones quake
Spooks come out for a swinging wake
Happy haunts materialize
And begin to vocalize
Grim grinning ghosts come out to socialize

Now don't close your eyes
And don't try to hide
Or a silly spook may sit by your side
Shrouded in a daft disguise
They pretend to terrorize
Grim grinning ghosts come out to socialize
As the moon climbs high o'er the dead oak tree
Spooks arrive for the midnight spree
Creepy creeps with eerie eyes
Start to shriek and harmonize
Grim grinning ghosts come out to socialize

When you hear the knell of a requiem bell
Weird glows gleam where spirits dwell
Restless bones etherialize
Rise as spooks of every size

[COMPANY]
When the crypt doors creak
And the tombstones quake
Spooks come out for a swinging wake
Happy haunts materialize
And begin to vocalize
Grim grinning ghosts come out to socialize

Now don't close your eyes
And don't try to hide
Or a silly spook may sit by your side
Shrouded in a daft disguise
They pretend to terrorize
Grim grinning ghosts come out to socialize
As the moon climbs high o'er the dead oak tree
Spooks arrive for the midnight spree
Creepy creeps with eerie eyes
Start to shriek and harmonize
Grim grinning ghosts come out to socialize

When you hear the knell of a requiem bell
Weird glows gleam where spirits dwell
Restless bones etherialize
Rise as spooks of every size

[BUSTS]
If you would like to join our jamboree
There's a simple rule that's compulsory
Mortals pay a token fee
Rest in peace, the haunting's free
So hurry back, we would like your company

[LITTLE LEOTA]
(spoken)
Hurry back! Hurry back! Be sure to bring your death certificate1EmbedShare URLCopyEmbedCopy"
6,3IeIP2Uo618tgzYbWhcn5a,52,Calling All the Monsters ,0.663,0.872,0.121,0.00414,144.021,-0.6186,0.062,0.053,0.886,"[Intro]
Calling all the monsters, calling all the monsters
Calling all, I'm calling all, I'm calling all the monsters

[Interlude]
Oh yeah (Oh)
Oh yeah (Oh)
Oh yeah (Oh)
Hey (Eh, eh)

[Verse 1]
Heart thumps and you jump, comin' down with goosebumps
You dare to go there? I'ma, I'ma get you so scared
(We're wanting to, yeah)
(We're haunting you, yeah)
(We're wanting to, yeah)
(Yeah, yeah)
You stayed in too late to be getting afraid
This scene extreme, I-I-I-I'ma get you so scared
(We're wanting to, yeah)
(We're haunting you, yeah)
(We're wanting to, yeah)
(Yeah, yeah)

[Pre-Chorus]
Gonna get your body shakin'
Wishin' you could just awaken (Here we go)
[Chorus]
Tonight, all the monsters gonna dance (Oh yeah)
We're comin' to get ya
Tonight, all the monsters gonna dance (Oh yeah)
We're comin' to get ya
If you're only dreamin'
Why I hear you screamin'?
Tonight, all the monsters gonna dance
We're comin' to get ya, we're comin' to get ya

[Refrain]
Calling all the monsters, calling all the monsters
Calling all, I'm calling all, I'm calling all the monsters

[Verse 2]
You hide or you try, kiss tomorrow goodbye
We thrill to your chill, b-b-buckin' for a freak out
(We're wanting to, yeah)
(We're haunting you, yeah)
(We're wanting to, yeah)
(Yeah, yeah)
We might just bite underneath the moonlight
More fun if you run, I-I-I-I'm, I'm already chasin'
(We're wanting to, yeah)
(We're haunting you, yeah)
(We're wanting to, yeah)
(Yeah, yeah)
[Pre-Chorus]
Gonna get your body shakin'
Wishin' you could just awaken (Here we go)

[Chorus]
Tonight, all the monsters gonna dance (Oh yeah)
We're comin' to get ya
Tonight, all the monsters gonna dance (Oh yeah)
We're comin' to get ya
If you're only dreamin'
Why I hear you screamin'?
Tonight, all the monsters gonna dance
We're comin' to get ya, we're comin' to get ya

[Refrain]
Calling all the monsters, calling all the monsters
Calling all, I'm calling all, I'm calling all the monsters

[Bridge]
Gonna paint it red
Get inside your head, head, head
Like a demon choir
Playin' with fire, fire, fire

[Pre-Chorus]
Gonna get your body shakin'
Wishin' you could just awaken
[Chorus]
Tonight, all the monsters gonna dance (Oh yeah)
We're comin' to get ya
Tonight, all the monsters gonna dance (Oh yeah)
And we're comin' to get ya
If you're only dreamin'
Why I hear you screamin'? (I hear you screamin')
Tonight, all the monsters gonna dance
We're comin' to get ya, we're comin' to get ya (Yeah)

[Outro]
Oh yeah (Oh)
Oh yeah (Oh)
Oh yeah (Oh)
We're comin' to get you17EmbedShare URLCopyEmbedCopy"
7,06iUp1XbbaOvAmzrrZeT32,60,Kidnap The Sandy Claws,0.744,0.524,0.103,0.0,137.566,0.9854,0.05,0.113,0.837,"[LOCK/SHOCK/BARREL]
Kidnap Mr. Sandy Claws?

[LOCK]
I wanna do it

[BARREL]
Let's draw straws

[SHOCK]
Jack said we should work together

[BARREL]
Three of a kind

[LOCK]
Birds of a feather

[LOCK/SHOCK/BARREL]
Now and forever, whee!
La-la-la-la-la-la, la-la-la-la-la
La-la-la-la-la-la, la-la-la-la-la
Kidnap the Sandy Claws, lock him up real tight
Throw away the key and then turn off all the lights

[SHOCK]
First, we're going to set some bait
Inside a nasty trap and wait
When he comes a-sniffing
We will snap the trap and close the gate
[LOCK]
Wait, I've got a better plan
To catch this big, red lobster man
Let's pop him in a boiling pot
And when he's done, we'll butter him up

[LOCK/SHOCK/BARREL]
Kidnap the Sandy Claws, throw him in a box
Bury him for ninety years, then see if he talks

[SHOCK]
Then Mr. Oogie Boogie Man

[LOCK/SHOCK/BARREL]
Can take the whole thing over then
He'll be so pleased, I do declare
That he will cook him rare, whee!

[LOCK]
I say that we take a cannon
Aim it at his door and then
Knock three times and when he answers
Sandy Claws will be no more

[SHOCK]
You're so stupid, think now
If we blow him up into smithereens
We may lose some pieces
[LOCK/SHOCK/BARREL]
And then Jack will beat us black and green
Kidnap the Sandy Claws, tie him in a bag
Throw him in the ocean then see if he is sad

[LOCK & SHOCK]
Because Mr. Oogie Boogie is the meanest guy around
If I were on his Boogie list, I'd get out of town

[BARREL]
He'll be so pleased by our success
That he'll reward us too, I'll bet

[LOCK/SHOCK/BARREL]
Perhaps he'll make his special brew
Of snake and spider stew, mmm
We're his little henchmen and we take our job with pride
We do our best to please him
And stay on his good side

[SHOCK]
I wish my cohorts weren't so dumb

[BARREL]
I'm not the dumb one
[LOCK]
You're no fun

[SHOCK]
Shut up!

[LOCK]
Make me!

[SHOCK]
I've got something, listen up
This one is real good, you'll see
We'll send a present to his door
Upon there'll be a note to read
Now in the box, we'll wait and hide
Until his curiousity...

[LOCK/SHOCK/BARREL]
Entices him to look inside
And then we'll have him, one, two, three
Kidnap the Sandy Claws, beat him with a stick
Lock him up for ninety years, see what makes him tick
Kidnap the Sandy Claws, chop him into bits
Mr. Oogie Boogie is sure to get his kicks
Kidnap the Sandy Claws, see what we will see
Lock him in a cage and then throw away the key6EmbedShare URLCopyEmbedCopy"
8,05Nu7e8A2qpRd88tJ8JPSR,50,Life Hereafter,0.506,0.445,0.435,0.0,208.377,0.9968,0.105,0.204,0.692,"[KERMIT]
Welcome to the life hereafter
Sleepless nights, eternal laughter
Buy the farm, push up some daisies

[MONSTERS]
Then get down with us creepy crazies

[CLEAN GENE, SPOKEN]
Hi, wanna come play with me?

[GHOST HOST]
Frights du jour

[GHOST]
And daily nightmares

[MUMMY & DUDDY]
Ghoulish scares to raise your neck hairs

[GHOST HOST]
If you think it’s too macabre
Follow the floating candelabra

[BALLROOM RAT]
But he ain’t French and he can’t croon
[YOLANDA]
We did that in a beastly cartoon

[GHOST HOST, SPOKEN]
She was a beauty

[SUNG]
We’ll never rest, we’ll never cease
‘Till you finally rest in peace

[CHIP]
You can fly and you can float

[SCOOTER]
Or you can scream just like a goat

[KERMIT]
But to grant your endless wishes

[SQUID]
First you must sleep down with the fishes

[PEPE, SPOKEN]
Hey! Hold on, I’m not sleepy!

[KERMIT]
Rain or snow
[GHOST HOST]
Lightning or thunder

[FRACKLES]
The party here is six feet under

[FRACKLE]
Trick or treat?

[MO FRACKLE]
Take a smell of my feet

[BIG MEAN CARL]
And give me something good to eat

[GHOST HOST]
You’re all alone, but don’t be scared
We’ve got your wake all pre-prepared

[HOWARD, SPOKEN]
Hi, I’m serving soup. It’s a cream mock tortoise and a yummy red that pairs with rigor mortis

[STATLER, SPOKEN]
It’s all so dopey, I’m complaining

[WALDORF, SPOKEN]
At least it’s almost entertaining
[ANNOUNCER, SPOKEN]
Your attention, please. Restless spirits have halted our progress. Please remain seated in your doom buggy, and we will continue our tour momentarily

[STATLER, SPOKEN]
Oh, no. The only thing worse than being stuck in here with you is being stuck in here with them!

[FOZZIE]
We tell jokes

[BOBO]
I do tricks

[CRAZY HARRY]
With my deadly candlesticks

[KERMIT]
Come on now and lift your glass

[GHOST HOST]
Filled with poison sassafras

[THE SWEDISH CHEF]
(Speaks Mock Swedish)

[JOE FROM LEGAL]
Sign your will, deed, and trust
Cause it’s time to bite the dust

[ALL]
Cash in your chips, we’re not joking
Now’s the time you should be croaking
You’re so great, none can compare
No one has your savoir faire

[GHOST HOST]
It’s time to turn your whole life story
Into a memento mori

[ALL]
Corpse by corpse and one by one
Until you shout “My life is done”

[KERMIT]
So join us in this life hereafter

[ALL]
Sleepless nights, eternal laughter
Sleepless nights, eternal laughter
Sleepless nights, eternal laughter
Sleepless nights, eternal laughter

[KERMIT]
And now the greatest act of all

[GHOST HOST]
It’s Gonzo’s final curtain call

[ALL]
From the basement to the rafters
Join us in the great hereafter
You’ll be great forever after

[MONSTERS]
In our monstrous life hereafter

[ALL]
For our afterparty afterlife

[ROWLF, SPOKEN]
Rest. In. Peace

[ALL, SPOKEN]
R.I.P.!EmbedShare URLCopyEmbedCopy"
9,7lGfhlbpUkI1DOE51Vb2Mt,62,Call me Cruella,0.581,0.567,0.0456,0.0319,100.994,-0.565,0.174,0.159,0.667,"[Intro]
Cruella de Vil, Cruella de Vil
She's born to be bad, so run for the hills
Cruella de Vil, Cruella de Vil
The fear on your face, it gives me a thrill

[Verse 1]
Who wants to be nice?
Who wants to be tame?
All of your good guys, they all seem the same

[Verse 2]
Original, criminal, dressed to kill
Just call me Cruella de Vil
Call me crazy, call me insane
But you're stuck in the past
And I'm ahead of the game

[Verse 3]
A life lived in penance, it just seems a waste
And the devil has much better taste
And I tried to be sweet, I tried to be kind
But I feel much better now that I'm out of my mind

[Verse 4]
Well, there's always a line at the gates of Hell
But I go right to the front 'cause I dress this well
Rip it up, leave it all in tatters
Beauty is the only thing that matters
The fabric of your little world is torn
Embrace the darkness and be reborn
[Outro]
Cruella de Vil, Cruella de Vil
The fear on your face, it gives me a thrill5EmbedShare URLCopyEmbedCopy"
