,track_uri,popularity,name,danceability,energy,speechiness,instrumentalness,tempo,sentiment,negative,positive,neutral,lyrics
0,6doSV1UQjyKxiNCnBnDTeG,62,Chanukah Song ,0.356,0.503,0.0734,2.51e-06,88.816,0.9972,0.005,0.21,0.786,"[Intro]
Okay...
This is a song that uhh...
There's a lot of Christmas songs out there and uhh...
Not too many Chanukah songs
So uhh...
I wrote a song for all those nice little Jewish kids who don't get to hear any Chanukah songs
Here we go...

[Chorus]
Put on your yarmulke
Here comes Chanukah
So much fun-ukah
To celebrate Chanukah

[Pre-Verse]
Chanukah is the festival of lights
Instead of one day of presents, we have eight crazy nights
When you feel like the only kid in town without a Christmas tree
Here's a list of people who are Jewish just like you and me

[Verse 1]
David Lee Roth lights the menorah
So do James Caan, Kirk Douglas, and the late Dinah Shore-ah
Guess who eats together at the Carnegie Deli
Bowser from Sha Na Na and Arthur Fonzerelli
Paul Newman's half Jewish, Goldie Hawn's half too
Put them together, what a fine lookin' Jew
You don't need ""Deck The Halls"" or ""Jingle Bell Rock""
'Cause you can spin a dreidel with Captain Kirk and Mr. Spock—both Jewish
[Chorus]
Put on your yarmulke
It's time for Chanukah
The owner of the Seattle Supersonic-ahs
Celebrates Chanukah

[Verse 2]
O.J. Simpson, not a Jew
But guess who is? Hall of Famer Rod Carew—he converted
We got Ann Landers and her sister Dear Abby
Harrison Ford's a quarter Jewish—not too shabby
Some people think that Ebenezer Scrooge is
Well he's not, but guess who is
All Three Stooges!
So many Jews are in showbiz
Tom Cruise isn't, but I heard his agent is

[Chorus]
Tell your friend Veronica
It's time to celebrate Chanukah
I hope I get a harmonica
Oh this lovely, lovely Chanukah
So drink your gin and tonic-ah
And smoke your marijuana-kah
If you really, really wanna-kah
Have a happy, happy, happy, happy Chanukah
Happy Chanukah2EmbedShare URLCopyEmbedCopy"
1,0BSBzobfETKbKYe5ZJWkFj,50,Happy Hanukkah,0.544,0.868,0.0903,0.0,179.961,0.9996,0.026,0.314,0.66,"[Chorus]
Happy Hanukkah! I wanna give a gift to you
Light up the night, my love shine through
From Mount Zion, this is what we do, bring love to you
Happy Hanukkah! I wanna give a gift to you
Light up the night, my love shine through
From Mount Zion, this is what we do, bring love to you, oh

[Verse 1]
Today is the day, tonight is the night
Sons of twilight had done come along, take flight
High and twinkling, and swindling and a shooting in the sky
I'm shining, and I’m feeling alright
Light a candle for the one you love
Peace and light from below to above
Eight nights, celebrate till I'm flying in the sky like a dove

[Pre-Chorus]
Let me unwind as I light up a flame in the name of the Lion of Judah
Drop like a hammer when I fall like the rain sun shower
Feel the power when I hit like a train

[Chorus]
Happy Hanukkah! I wanna give a gift to you
Light up the night, my love shine through
From Mount Zion, this is what we do, bring love to you
Happy Hanukkah! I wanna give a gift to you
Light up the night, my love shine through
From Mount Zion, this is what we do, bring love to you
[Verse 2]
Looking into the cosmos, flows intact
When I write to excite, now I'm fighting back
Intertwined with the divine, it’s a battle for your spine
It's a battle from the ancient line
Son of King David, Maccabee till the end of time
You're my light in the hardest time
Yes you bring peace to my mind
Won't you please let me unwind

[Pre-Chorus]
Oh, as I light up a flame in the name of the Lion of Judah
Drop like a hammer when I fall like the rain sun shower
Feel the power when I hit like a train

[Chorus]
Happy Hanukkah! I wanna give a gift to you
Light up the night, my love shine through
From Mount Zion, this is what we do, bring love to you
Happy Hanukkah! I wanna give a gift to you
Light up the night, my love shine through
From Mount Zion, this is what we do, bring love to you

Happy Hanukkah! I wanna give a gift to you
Light up the night, my love shine through
From Mount Zion, this is what we do, bring love to you
Happy Hanukkah! I wanna give a gift to you
Light up the night, my love shine through
From Mount Zion, this is what we do, bring love to you
Oh, happy Hanukkah! I wanna give a gift to you
Light up the night, my love shine through
From Mount Zion, this is what we do, bring love to you
Oh, celebration, get your hands up high, get your hands up high
Celebration, put your hands up high, put your hands up high
Put your hands straight to the

[Outro]
Happy Hanukkah! The Lion of Judah
Bringing gifts straight to you
We're bringing love straight to you
Light up the night, my love shine throughEmbedShare URLCopyEmbedCopy"
2,5ec60jot43VDKVDSyXGwaT,45,Oh Hanukkah,0.754,0.553,0.586,0.0,82.443,0.9887,0.025,0.187,0.788,"Oh Hanukkah, oh Hanukkah
Come light the menorah
Let's have a party
We'll all dance the hora
Gather 'round the table
We'll give you a treat
A Sivivon to play with and latkes to eat

And while we are playing
The candles are burning low
One for each night, they shed a sweet light
To remind us of days long ago
One for each night, they shed a sweet light
To remind us of days long ago

Oh Hanukkah, oh Hanukkah
Come light the menorah
Let's have a party
We'll all dance the hora
Gather 'round the table
We'll give you a treat
A Sivivon to play with and latkes to eat

And while we are playing
The candles are burning low
One for each night, they shed a sweet light
To remind us of days long ago
One for each night, they shed a sweet light
To remind us of days long ago
[Instrumental]

Oh Hanukkah, oh Hanukkah
Come light the menorah
Let's have a party
We'll all dance the hora
Gather 'round the table
We'll give you a treat
A Sivivon to play with and latkes to eat

And while we are playing
The candles are burning low
One for each night, they shed a sweet light
To remind us of days long ago
One for each night, they shed a sweet light
To remind us of days long agoEmbedShare URLCopyEmbedCopy"
3,50l5C1hyJVPU33JDmXtbAf,46,Maoz Tzur,0.144,0.346,0.0301,0.0,185.032,0.0,0.0,0.0,1.0,"Maoz tzur yeshuati
Lecha na'eh leshabe'ach
Tikon beit tefilati
Vesham todah nezabe'ach

Le'et achin matbe'ach
Mitzor hamnabe'ach
Az egmor beshir mizmor
Chanukat hamizbe'ach
Az egmor beshir mizmor
Chanukat hamizbe'ach

[Instrumental]

Maoz tzur yeshuati
Lecha na'eh leshabeach
Tikon beit t’filati
V’sham todah n’zabe'ach

Le'et achin matbe'ach
Mitzor hamnabe'ach
Az egmor beshir mizmor
Chanukat hamizbe'ach
Az egmor beshir mizmor
Chanukat hamizbe'achEmbedShare URLCopyEmbedCopy"
4,2PpXsTMyaWAY4005WObBfR,40,If It Be Your Will,0.426,0.329,0.0308,5.43e-05,139.401,-0.7845,0.119,0.089,0.792,"If it be your will
That I speak no more
And my voice be still
As it was before
I will speak no more
I shall abide until
I am spoken for
If it be your will
If it be your will
That a voice be true
From this broken hill
I will sing to you
From this broken hill
All your praises they shall ring
If it be your will
To let me sing
From this broken hill
All your praises they shall ring
If it be your will
To let me sing

If it be your will
If there is a choice
Let the rivers fill
Let the hills rejoice
Let your mercy spill
On all these burning hearts in hell
If it be your will
To make us well
And draw us near
And bind us tight
All your children here
In their rags of light
In our rags of light
All dressed to kill
And end this night
If it be your will

If it be your will2EmbedShare URLCopyEmbedCopy"
5,3ZjCGpTXLUpg7cAaZzgwBP,40,How Do You Spell Channukkahh?,0.445,0.858,0.0881,2.21e-05,156.331,0.0,0.0,0.0,0.0,
6,58r8dYXFBGvbw0rZ06gcnT,50,"Hanukkah, Oh Hanukkah",0.633,0.747,0.0296,0.0,131.905,0.9887,0.025,0.187,0.788,"Oh Hanukkah, oh Hanukkah
Come light the menorah
Let's have a party
We'll all dance the hora
Gather 'round the table
We'll give you a treat
A Sivivon to play with and latkes to eat

And while we are playing
The candles are burning low
One for each night, they shed a sweet light
To remind us of days long ago
One for each night, they shed a sweet light
To remind us of days long ago

Oh Hanukkah, oh Hanukkah
Come light the menorah
Let's have a party
We'll all dance the hora
Gather 'round the table
We'll give you a treat
A Sivivon to play with and latkes to eat

And while we are playing
The candles are burning low
One for each night, they shed a sweet light
To remind us of days long ago
One for each night, they shed a sweet light
To remind us of days long ago
[Instrumental]

Oh Hanukkah, oh Hanukkah
Come light the menorah
Let's have a party
We'll all dance the hora
Gather 'round the table
We'll give you a treat
A Sivivon to play with and latkes to eat

And while we are playing
The candles are burning low
One for each night, they shed a sweet light
To remind us of days long ago
One for each night, they shed a sweet light
To remind us of days long agoEmbedShare URLCopyEmbedCopy"
7,4pZ5F2nQy0AI2eOkswcjyD,39,Eight Candles,0.556,0.552,0.0302,0.035,113.866,0.9784,0.016,0.16,0.824,"Eight candles shine for the Maccabees
Eight candles shine for the Maccabees
Down from the mountains with Liberty's sword
They came like the flame of the Lord

Dance the horah
Light the menorah
This is the time of joy
The road to freedom we take today
With the Maccabees leading the way

Eight candles shine for the Maccabees
Eight candles shine for the Maccabees
The tyrant was routed with all of his men
And the temple made holy again

Dance the horah
Light the menorah
This is the time of joy
The road to freedom we take today
With the Maccabees leading the way

Eight candles shine for the Maccabees
Eight candles shine for the Maccabees
Hanukah's children will never forget
The glory that shines for us yet
Dance the horah
Light the menorah
This is the time of joy
The road to freedom we take today
With the Maccabees leading the wayEmbedShare URLCopyEmbedCopy"
8,1vK4S0PCGyPGpykjy1te2d,48,Oh Hanukkah,0.645,0.654,0.0407,0.0,131.972,0.9887,0.025,0.187,0.788,"Oh Hanukkah, oh Hanukkah
Come light the menorah
Let's have a party
We'll all dance the hora
Gather 'round the table
We'll give you a treat
A Sivivon to play with and latkes to eat

And while we are playing
The candles are burning low
One for each night, they shed a sweet light
To remind us of days long ago
One for each night, they shed a sweet light
To remind us of days long ago

Oh Hanukkah, oh Hanukkah
Come light the menorah
