,track_uri,popularity,name,danceability,energy,speechiness,instrumentalness,tempo,sentiment,negative,positive,neutral,lyrics
0,5Q0Nhxo0l2bP3pNjpGJwV1,74,Party In The U.S.A.,0.652,0.698,0.042,0.000115,96.021,0.9981,0.034,0.234,0.732,"[Verse 1]
I hopped off the plane at LAX
With a dream and my cardigan
Welcome to the land of fame excess (Whoa)
Am I gonna fit in?
Jumped in the cab, here I am for the first time
Look to my right, and I see the Hollywood sign
This is all so crazy
Everybody seems so famous

[Pre-Chorus]
My tummy's turnin' and I'm feelin' kinda homesick
Too much pressure and I'm nervous
That's when the taxi man turned on the radio
And a JAY-Z song was on
And a JAY-Z song was on
And a JAY-Z song was on

[Chorus]
So I put my hands up
They're playin' my song, the butterflies fly away
I'm noddin' my head like, yeah
Movin' my hips like, yeah
Got my hands up, they're playing my song
They know I'm gonna be okay
Yeah, it's a party in the U.S.A. 
Yeah, it's a party in the U.S.A. 
[Verse 2]
Get to the club in my taxi cab
Everybody's lookin' at me now
Like, ""Who's that chick that's rockin' kicks?
She gotta be from out of town""
So hard with my girls not around me
It's definitely not a Nashville party
'Cause all I see are stilettos
I guess I never got the memo

[Pre-Chorus]
My tummy's turnin' and I'm feelin' kinda homesick
Too much pressure and I'm nervous
That's when the DJ dropped my favorite tune
And a Britney song was on
And a Britney song was on
And a Britney song was on

[Chorus]
So I put my hands up
They're playin' my song, the butterflies fly away
I'm noddin' my head like, yeah
Movin' my hips like, yeah
Got my hands up, they're playing my song
They know I'm gonna be okay
Yeah, it's a party in the U.S.A. 
Yeah, it's a party in the U.S.A. 
[Bridge]
Feel like hopping on a flight (On a flight)
Back to my hometown tonight (Town tonight)
Something stops me every time (Every time)
The DJ plays my song and I feel alright (Hey, hey)

[Chorus]
So I put my hands up
They're playing my song, the butterflies fly away
I'm noddin' my head like, yeah (N-n-n-noddin' my head)
Movin' my hips like, yeah (Ooh, yeah)
Got my hands up, they're playing my song
They know I'm gonna be okay (Gonna be okay)
Yeah (Na na, na na), it's a party in the U.S.A. 
Yeah, it's a party in the U.S.A. 
So I put my hands up
They're playing my song, the butterflies fly away (Flying away)
I'm noddin' my head like, 'yeah' (Noddin' my head like, yeah)
Movin' my hips like, 'yeah' (Movin' my hips like, yeah)
Got my hands up, they're playing my song
They know I'm gonna be okay (I'm gonna be okay)
Yeah (Yeah), it's a party in the U.S.A. 
Yeah (Ha-ha-ha-ha), it's a party in the U.S.A. 218EmbedShare URLCopyEmbedCopy"
1,5E3P9e1hvjyIOlFyqNB5eD,67,Rich Girl,0.598,0.643,0.134,0.0,167.971,0.976,0.087,0.122,0.791,"[Chorus: Daryl Hall]
You're a rich girl, and you've gone too far
'Cause you know it don't matter anyway
You can rely on the old man's money
You can rely on the old man's money
It's a bitch, girl, but it's gone too far
'Cause you know it don't matter anyway
Say money but it won't get you too far
Get you too far

[Verse 1: Daryl Hall & John Oates]
Don't you know? Don't you know?
That it's wrong to take what is given you
So far gone, on your own
You can get along if you try to be strong
But you'll never be strong, 'cause

[Chorus: Daryl Hall & John Oates]
You're a rich girl (Rich girl)
And you've gone too far
'Cause you know it don't matter anyway (Rich girl)
You can rely on the old man's money
You can rely on the old man's money
It's a bitch, girl (Bitch, girl), and it's gone too far
'Cause you know it don't matter anyway (Rich girl)
Say money but it won't get you too far, get you too far
[Verse 2: Daryl Hall & John Oates]
High and dry, out of the rain
It's so easy to hurt others when you can't feel pain
And don't you know that a love can't grow, ooh
'Cause there's too much to give, 'cause you'd rather live
For the thrill of it all, oh

[Refrain: Daryl Hall & John Oates]
You're a rich girl (Rich girl) and you've gone too far
'Cause you know it don't matter anyway (Rich girl)
And you can rely on the old man's money
And you can rely on the old man's money
It's a bitch, girl (Bitch, girl), and it's gone too far
'Cause you know it don't matter anyway, yeah (Rich girl)
Say money but it won't get you too far
Say money but it won't get you too far
Say money but it won't get you too far, get you too far
And you say, you can rely on the old man's money
You can rely on the old man's money

[Outro: Daryl Hall & John Oates]
You're a rich girl (Rich girl)
A rich girl
Oh, you're a rich bitch girl, yeah (Rich girl)
Say money but it won't get you too far
Won't get you too far14EmbedShare URLCopyEmbedCopy"
2,32OlwWuMpZ6b0aN2RZOeMS,83,Uptown Funk ,0.856,0.609,0.0824,8.15e-05,114.988,0.9912,0.016,0.067,0.917,"[Intro]
Doh
Doh-doh-doh, doh-doh-doh, doh-doh
Doh-doh-doh, doh-doh-doh, doh-doh
Doh-doh-doh, doh-doh-doh, doh-doh
Doh-doh-doh, doh-doh (Aw, ow)

[Verse 1]
This hit, that ice cold
Michelle Pfeiffer, that white gold
This one for them hood girls
Them good girls, straight masterpieces
Stylin', wilin', livin' it up in the city
Got Chucks on with Saint Laurent
Gotta kiss myself, I'm so pretty
[Refrain]
I'm too hot (Hot damn)
(Doh)
Uh, call the police and the fireman
(Doh-doh-doh, doh-doh-doh, doh-doh)
I'm too hot (Hot damn)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Make a dragon wanna retire, man
I'm too hot (Hot damn)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Say my name, you know who I am
I'm too hot (Hot damn)
(Doh-doh-doh, doh-doh, doh, doh)
And my band 'bout that money, break it down
[Pre-Chorus]
Girls hit your hallelujah (Woo)
Girls hit your hallelujah (Woo)
Girls hit your hallelujah (Woo)
'Cause uptown funk gon' give it to you (Woo)
('Cause uptown funk gon' give it to you)
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me, just watch, come on

[Chorus]
Doh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Don't believe me, just watch, uh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh–)
Don't believe me, just watch, uh
Don't believe me, just watch, uh
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, oh

[Verse 2]
Stop, wait a minute
Fill my cup, put some liquor in it
Take a sip, sign the check
Julio, get the stretch
Ride to Harlem, Hollywood, Jackson, Mississippi
If we show up, we gon' show out
Smoother than a fresh jar o' Skippy
[Refrain]
I'm too hot (Hot damn)
(Doh)
Call the police and the fireman
(Doh-doh-doh, doh-doh-doh, doh-doh)
I'm too hot (Hot damn)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Make a dragon wanna retire, man
I'm too hot (Too hot, hot damn, hot damn)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Bitch, say my name, you know who I am
I'm too hot (Hot damn)
(Doh-doh-doh, doh-doh, doh, doh)
Uh, and my band 'bout that money, break it down

[Pre-Chorus]
Girls hit your hallelujah (Woo)
Girls hit your hallelujah (Woo)
Girls hit your hallelujah (Woo)
'Cause uptown funk gon' give it to you (Woo)
('Cause uptown funk gon' give it to you)
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me, just watch, come on

[Chorus]
Doh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Don't believe me, just watch, uh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh–)
Don't believe me, just watch, uh
Don't believe me, just watch, uh
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, oh
[Bridge]
(Doh)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Before we leave
(Doh-doh-doh, doh-doh-doh, doh-doh)
Lemme tell y'all a lil' something
Uptown funk you up, uptown funk you up
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up, uptown funk you up, uh
(Doh-doh-doh, doh-doh-doh, doh-doh)
I said, uptown funk you up, uptown funk you up, uh
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up, uptown funk you up, come on
(Doh-doh-doh, doh-doh, doh, doh)
Dance, jump on it
(Doh-doh-doh, doh-doh-doh, doh-doh)
If you sexy, then flaunt it
If you freaky, then own it
(Doh-doh-doh, doh-doh-doh, doh-doh)
Don't brag about it, come show me, come on
Dance, jump on it
(Doh-doh-doh, doh-doh-doh, doh-doh)
If you sexy, then flaunt it
Well, it's Saturday night and we in the spot
Don't believe me, just watch, come on

[Chorus]
Doh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Don't believe me, just watch, uh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh–)
Don't believe me, just watch, uh
Don't believe me, just watch, uh
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, oh

[Outro]
Uptown funk you up (Woo, come on)
(Doh)
Uptown funk you up (Hey, say what?)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up (Hey)
(Doh-doh-doh, doh)
Uptown funk you up (Come on)
(Doh)
Uptown funk you up (Woo, come on)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up (Hey, say what?)
Uptown funk you up (Hey)
Uptown funk you up (Come on)
(Doh)
Uptown funk you up (Woo, come on)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up (Hey, say what?)
Uptown funk you up (Hey)
(Doh-doh-doh, doh)
Uptown funk you up (Come on)
(Doh)
Uptown funk you up (Ah)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up (Say what?)
Uptown funk you up
Aw, ow550EmbedShare URLCopyEmbedCopy"
3,7qXPZxXn6Xmv1sjh03skiW,61,Southbound,0.614,0.884,0.0402,0.0,100.531,0.9925,0.0,0.127,0.873,"[Verse 1]
We got a pontoon boat with a Yamaha
People dressed like they're in Panama
Small town, spring break
Every weekend 'round this place
And there's a bunch of boys tryna catch the eyes
Of all the pretty girls that are walking by
And those redneck margaritas are two for one at that old marina, yeah
Tan lines and gas station cheap sunglasses
They're coming here from all around

[Chorus]
To get a little southbound, unwound, Tennessee Honey kinda buzz
Them south sounds up loud, summer drippin' off of us
From the river bank to the Party Cove
Long as it floats, we'll rock the boat
And it's all lookin' up when we get down, yeah
And get a little southbound, southbound
Get a little southbound, southbound

[Verse 2]
Bo got a ticket in a no-wake zone
But Katie's the one that should take it slow
'Cause she's dancin' on the dock and it's only 2 o'clock
Yeah, the fish ain't bitin' 'cause the party's on
The old men are thinkin' 'bout goin' home
But those redneck margaritas are two for one at that old marina, yeah
[Chorus]
We're gonna get a little southbound, unwound, Tennessee Honey kinda buzz
Them south sounds up loud, summer drippin' off of us
From the river bank to the Party Cove
Long as it floats, we'll rock the boat
And it's all lookin' up when we get down, yeah
And get a little southbound, southbound
Get a little southbound, southbound
Oh, yeah
Woo!

[Bridge]
Yeah, we got the rope swing swingin' like a chandelier
Little bit of heaven on the water ride here
Don't need much, just a couple of beers and you and me
Gotta love this time of year
Getting southbound, southbound

[Chorus]
So let's get a little southbound, unwound, Tennessee Honey kinda buzz
Them south sounds up loud, summer drippin' off of us
From the river bank to the Party Cove
Long as it floats, we'll rock the boat
And it's all lookin' up when we get down
And get a little southbound, southbound
Get a little southbound, southbound
Let's get a little southbound, southbound
Get a little southbound, southbound
Oh, yeah4EmbedShare URLCopyEmbedCopy"
4,62AuGbAkt8Ox2IrFFb8GKV,79,Sweet Caroline,0.529,0.127,0.0274,0.000109,63.05,0.9949,0.066,0.323,0.611,"[Verse 1]
Where it began
I can't begin to know when
But then I know it's growing strong
Was in the spring
And spring became the summer
Who'd have believed you'd come along

[Pre-Chorus]
Hands, touchin' hands
Reachin' out, touchin' me, touchin' you

[Chorus]
Sweet Caroline
Good times never seemed so good
I've been inclined
To believe they never would

[Verse 2]
But now I look at the night
And it don't seem so lonely
We fill it up with only two
And when I hurt
Hurtin' runs off my shoulders
How can I hurt when holdin' you
[Pre-Chorus]
Warm, touchin' warm
Reachin' out, touchin' me, touchin' you

[Chorus]
Sweet Caroline
Good times never seemed so good
I've been inclined
To believe they never would
Oh no no

[Outro]
Sweet Caroline
Good times never seemed so good
Sweet Caroline
I believe they never could
Sweet Caroline
Good times never seemed so good31EmbedShare URLCopyEmbedCopy"
5,4o6BgsqLIBViaGVbx5rbRk,78,You Make My Dreams ,0.751,0.501,0.0551,0.112,167.057,0.9991,0.013,0.302,0.685,"[Verse 1]
What I want, you've got
And it might be hard to handle
But like a flame that burns the candle
The candle feeds the flame
Yeah, yeah, what I've got, full stock
Of thoughts and dreams that scatter
And you pull them all together
And a-how, I can't explain

[Chorus]
Oh yeah, well, well you (Ooh, ooh, ooh ooh ooh)
You make a-my dreams come true
(You) You (You, you, ooh ooh ooh, you)
Well, well, well you (Ooh, ooh, ooh ooh ooh)
Oh yeah, a-you make a-my dreams come true
(You, you, you, ooh ooh ooh, you)
Well yeah

[Verse 2]
On a night when bad
Dreams become a screamer
When they're messing with the dreamer
I can laugh it in the face
Twist and shout my way out
And wrap yourself around me
'Cause a-I ain't the way you found me
And I'll never be the same
[Chorus]
Oh yeah, well, 'cause you (Ooh, ooh, ooh ooh ooh)
Mmm hmm, you make a-my dreams come true
(You, you, you, ooh ooh ooh, you)
Whoa yeah, well, well, well you (Ooh, ooh, ooh ooh ooh)
Woo woo, you make a-my dreams come true
(You, you, you, ooh ooh ooh, you)
Oh yeah

[Instrumental Break]
Well, listen to this
Ow

[Bridge]
I'm down on my daydream
Oh, that sleepwalk should be over by now, I know

[Chorus]
Ah you
Yeah a-yeah, you make a-my dreams come true
(You, you, you, ooh ooh ooh, you)
Oh yeah, I've been waiting for, waiting for you, girl
(Ooh, ooh, ooh ooh ooh)
Oh yeah, you make a-my dreams come true
(You, you, you, ooh ooh ooh, you)
Me, you, me, you, me
I've been waiting for, waiting for you, girl
(Ooh, ooh, ooh ooh ooh)
Oh my, you make a-my dreams come true
(You) Oh (You, you, ooh ooh ooh, you)
Whoa ooh whoa, I've been waiting for, waiting for, waiting for
(Ooh, ooh, ooh ooh ooh)
Waiting for, waiting for, waiting for, waiting
You make my dreams
(You, you, you, ooh ooh ooh, you)
Ooh ooh ooh ooh ooh ooh
Ooh ooh ooh ooh
I've been waiting for you, girl
(Ooh, ooh, ooh ooh ooh)
You make my dreams
(You, you, you, ooh ooh ooh, you)12EmbedShare URLCopyEmbedCopy"
6,2ATDkfqprlNNe9mYWodgdc,63,Dancing Queen,0.512,0.93,0.0508,0.00119,100.542,0.9062,0.023,0.082,0.895,"[Chorus]
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen

[Verse 1]
Friday night and the lights are low
Looking out for a place to go
Where they play the right music, getting in the swing
You come to look for a king
Anybody could be that guy
Night is young and the music's high
With a bit of rock music, everything is fine
You're in the mood for a dance
And when you get the chance

[Chorus]
You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen
[Verse 2]
You're a teaser, you turn 'em on
Leave 'em burning and then you're gone
Looking out for another, anyone will do
You're in the mood for a dance
And when you get the chance

[Chorus]
You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen

[Outro]
Digging the dancing queen43EmbedShare URLCopyEmbedCopy"
7,3DarAbFujv6eYNliUTyqtz,87,Kiss Me More ,0.764,0.705,0.0284,8.92e-05,110.97,0.9963,0.075,0.186,0.739,"[Verse 1: Doja Cat]
We hug and, yes, we make love
And always just say goodnight (La-la-la-la-la-la)
And we cuddle, sure, I do love it
But I need your lips on mine

[Chorus: Doja Cat]
Can you kiss me more?
We're so young, boy, we ain't got nothin' to lose, uh-oh
It's just principle
Baby, hold me 'cause I like the way you groove, uh-oh

[Post-Chorus: Doja Cat]
Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la-la-la-la
All on my tongue, I want it (La-la-la-la-la-la)
Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la-la-la-la
All on my tongue, I want it (La-la-la-la-la-la)

[Verse 2: Doja Cat]
I, I feel like fuckin' somethin'
But we could be corny, fuck it
Sugar, I ain't no dummy, dummy
I likе to say, ""What if?"", but if
We could kiss and just cut the rubbish
Then I might bе onto somethin'
I ain't givin' you one in public
I'm givin' you hundreds, fuck it
Somethin' we just gotta get into
Sign first, middle, last on the wisdom tooth
Niggas wishin' that the pussy was a kissin' booth
Taste breakfast, lunch, and gin and juice
And that dinner just like dessert too
And when we French, refresh, gimme two
When I bite that lip, come get me too
He want lipstick, lip gloss, hickeys too, huh
[Chorus: Doja Cat]
Can you kiss me more?
We're so young, boy, we ain't got nothin' to lose, uh-oh
It's just principle
Baby, hold me 'cause I like the way you groove, uh-oh

[Post-Chorus: Doja Cat]
Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la-la-la-la
All on my tongue, I want it (La-la-la-la-la-la)
Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la-la-la-la
All on my tongue, I want it

[Verse 3: SZA]
Say give me a buck, need that gushy stuff
Push the limit, no, you ain't good enough
All your niggas say that you lost without me
All my bitches feel like I dodged the county
Fuckin' with you feel like jail, nigga (Feel like jail)
I can't even exhale, nigga (Exhale)
Pussy like holy grail, you know that
You gon' make me need bail, you know that
Caught dippin' with your friend
You ain't even half man, lyin' on your—, you know that
Got me a bag full of brick, you know that
Control, don't slow the pace if I throw back
All this ass for real (All this ass)
Drama make you feel (Make you feel)
Fantasy and whip appeal is all I can give you
[Chorus: Doja Cat, SZA & Both]
Can you kiss me more?
We're so young, boy, we ain't got nothin' to lose, uh-oh
It's just principle
Baby, hold me 'cause I like the way you groove, uh-oh
Oh, darlin'

[Post-Chorus: SZA & Doja Cat]
Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it
Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it191EmbedShare URLCopyEmbedCopy"
8,2tUBqZG2AbRi7Q0BIrVrEj,82,I Wanna Dance with Somebody ,0.709,0.824,0.0453,0.000307,118.818,0.9949,0.033,0.182,0.784,"Clock strikes upon the hour
And the sun begins to fade
Still enough time to figure out
How to chase my blues away
I've done alright up to now
It's the light of day that shows me how
And when the night falls, loneliness calls

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me

I've been in love and lost my senses
Spinning through the town
Sooner or later, the fever ends
And I wind up feeling down
I need a man who'll take a chance
On a love that burns hot enough to last
So when the night falls
My lonely heart calls
Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me

Somebody ooo, somebody ooo
Somebody who loves me yeah
Somebody ooo, somebody ooo
To hold me in his arms oh

I need a man who'll take a chance
On a love that burns hot enough to last
So when the night falls
My lonely heart calls

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me
Don't ya wanna dance with me baby
Don't ya wanna dance with me boy
Hey don't ya wanna dance with me baby
With somebody who loves me

Don't ya wanna dance, say you wanna dance, don't ya wanna dance
Don't ya wanna dance, say you wanna dance, don't ya wanna dance
Don't ya wanna dance, say you wanna dance
With somebody who loves me
DanceEmbedShare URLCopyEmbedCopy"
9,3Yh9lZcWyKrK9GjbhuS0hR,67,Good as Hell,0.682,0.919,0.0875,0.0,95.982,0.982,0.101,0.163,0.736,"[Chorus]
I do my hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)

[Verse 1]
Woo, child, tired of the bullshit
Go on, dust your shoulders off, keep it moving
Yes, Lord, tryna get some new shit
In there, swimwear, going-to-the-pool shit
Come now, come dry your eyes
You know you a star, you can touch the sky
I know that it's hard, but you have to try
If you need advice, let me simplify

[Pre-Chorus]
If he don't love you anymore
Just walk your fine ass out the door

[Chorus]
I do my hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)
(Feeling good as hell)
Baby, how you feelin'? (Feelin' good as hell)
[Verse 2]
Woo, girl, need to kick off your shoes
Gotta take a deep breath, time to focus on you
All the big fights, long nights that you been through
I got a bottle of tequila I been saving for you
Boss up and change your life
You can have it all, no sacrifice
I know he did you wrong, we can make it right
So go and let it all hang out tonight

[Pre-Chorus]
'Cause he don't love you anymore
So walk your fine ass out the door

[Chorus]
And do your hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell) (Show it off tonight)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell) (And we gon' be alright)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)

[Pre-Chorus]
Mmm, yeah, alright
Listen, if he don't love you anymore
Then walk your fine ass out the door
[Chorus]
And do your hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell) (Woo-hoo)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell) (Show it off tonight)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell) (And we gon' make it right)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)
(Feelin' good as hell)
Baby, how you feelin'? (Feelin' good as hell)26EmbedShare URLCopyEmbedCopy"
