,track_uri,popularity,name,danceability,energy,speechiness,instrumentalness,tempo,sentiment,negative,positive,neutral,lyrics
0,0ACACkoHUwgfgY5CxVIL4N,67,Lovely Day,0.694,0.565,0.0345,0.000172,97.938,0.9999,0.015,0.544,0.441,"[Verse 1]
When I wake up in the morning, love
And the sunlight hurts my eyes
And something without warning, love
Bears heavy on my mind

[Chorus]
Then I look at you
And the world's alright with me
Just one look at you
And I know it's gonna be
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)

[Verse 2]
When the day that lies ahead of me
Seems impossible to face
When someone else instead of me
Always seems to know the way

[Chorus]
Then I look at you
And the world's alright with me
Just one look at you
And I know it's gonna be
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
[Verse 3]
When the day that lies ahead of me
Seems impossible to face
When someone else instead of me
Always seems to know the way

[Chorus]
Then I look at you
And the world's alright with me
Just one look at you
And I know it's gonna be
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day)14EmbedShare URLCopyEmbedCopy"
1,39q7xibBdRboeMKUbZEB6g,45,"Take Me Home, Country Roads",0.255,0.43,0.0322,1.87e-05,164.267,0.7722,0.0,0.048,0.952,"[Verse 1]
Almost Heaven, West Virginia
Blue Ridge Mountains, Shenandoah River
Life is old there, older than the trees
Younger than the mountains, growing like a breeze

[Chorus]
Country roads, take me home
To the place I belong
West Virginia, mountain mama
Take me home, country roads

[Verse 2]
All my memories gather 'round her
Miner's lady, stranger to blue water
Dark and dusty, painted on the sky
Misty taste of moonshine, teardrop in my eye

[Chorus]
Country roads, take me home
To the place I belong
West Virginia, mountain mama
Take me home, country roads

[Bridge]
I hear her voice in the morning hour, she calls me
The radio reminds me of my home far away
Driving down the road, I get a feeling
That I should have been home yesterday, yesterday
[Chorus]
Country roads, take me home
To the place I belong
West Virginia, mountain mama
Take me home, country roads
Country roads, take me home
To the place I belong
West Virginia, mountain mama
Take me home, country roads

[Outro]
Take me home, (Down) country roads
Take me home, (Down) country roads58EmbedShare URLCopyEmbedCopy"
2,3Qe0dJkQXx7jJWXRxuVqJ0,0,Easy,0.577,0.481,0.03,0.00229,132.159,-0.9944,0.133,0.12,0.747,"[Intro]
""Look, I was gonna go easy on you not to hurt your feelings""
""But I'm only going to get this one chance"" (Six minutes— Six minutes—)
""Something's wrong, I can feel it"" (Six minutes, Slim Shady, you're on!)
""Just a feeling I've got, like something's about to happen, but I don't know what. 
If that means what I think it means, we're in trouble, big trouble; 
And if he is as bananas as you say, I'm not taking any chances""
""You are just what the doc ordered""

[Chorus]
I'm beginnin' to feel like a Rap God, Rap God
All my people from the front to the back nod, back nod
Now, who thinks their arms are long enough to slap box, slap box?
They said I rap like a robot, so call me Rap-bot

[Verse 1]
But for me to rap like a computer it must be in my genes
I got a laptop in my back pocket
My pen'll go off when I half-cock it
Got a fat knot from that rap profit
Made a livin' and a killin' off it
Ever since Bill Clinton was still in office
With Monica Lewinsky feelin' on his nutsack
I'm an MC still as honest
But as rude and as indecent as all hell
Syllables, skill-a-holic (Kill 'em all with)
This flippity dippity-hippity hip-hop
You don't really wanna get into a pissin' match
With this rappity brat, packin' a MAC in the back of the Ac'
Backpack rap crap, yap-yap, yackety-yack
And at the exact same time, I attempt these lyrical acrobat stunts while I'm practicin' that
I'll still be able to break a motherfuckin' table
Over the back of a couple of faggots and crack it in half
Only realized it was ironic, I was signed to Aftermath after the fact
How could I not blow? All I do is drop F-bombs
Feel my wrath of attack
Rappers are havin' a rough time period, here's a maxi pad
It's actually disastrously bad for the wack
While I'm masterfully constructing this masterpièce
[Chorus]
'Cause I'm beginnin' to feel like a Rap God, Rap God
All my people from the front to the back nod, back nod
Now, who thinks their arms are long enough to slap box, slap box?
Let me show you maintainin' this shit ain't that hard, that hard
Everybody want the key and the secret to rap immortality like Ι have got

[Verse 2]
Well, to be truthful the blueprint's
Simply rage and youthful exuberance
Everybody loves to root for a nuisance
Hit the Earth like an asteroid
Did nothing but shoot for the Moon since (Pew!)
MCs get taken to school with this music
'Cause I use it as a vehicle to ""bus the rhyme""
Now I lead a new school full of students
Me? I'm a product of Rakim
Lakim Shabazz, 2Pac, N.W.A, Cube, hey Doc, Ren
Yella, Eazy, thank you, they got Slim
Inspired enough to one day grow up, blow up and be in a position
To meet Run–D.M.C., induct them
Into the motherfuckin' Rock and Roll Hall of Fame
Even though I'll walk in the church and burst in a ball of flames
Only Hall of Fame I'll be inducted in is the alcohol of fame
On the wall of shame
You fags think it's all a game, 'til I walk a flock of flames
Off a plank and, tell me what in the fuck are you thinkin'?
Little gay-lookin' boy
So gay I can barely say it with a straight face, lookin' boy (Ha-ha!)
You're witnessin' a mass-occur
Like you're watching a church gathering take place, lookin' boy
""Oy vey, that boy's gay!""—that's all they say, lookin' boy
You get a thumbs up, pat on the back
And a ""way to go"" from your label every day, lookin' boy
Hey, lookin' boy! What you say, lookin' boy?
I get a ""hell yeah"" from Dre, lookin' boy
I'ma work for everything I have, never asked nobody for shit
Get outta my face, lookin' boy!
Basically, boy, you're never gonna be capable
Of keepin' up with the same pace, lookin' boy, 'cause—
[Chorus]
I'm beginnin' to feel like a Rap God, Rap God
All my people from the front to the back nod, back nod
The way I'm racin' around the track, call me NASCAR, NASCAR
Dale Earnhardt of the trailer park, the White Trash God
Kneel before General Zod
This planet's Krypton—no, Asgard, Asgard

[Verse 3]
So you'll be Thor and I'll be Odin
You rodent, I'm omnipotent
Let off, then I'm reloadin'
Immediately with these bombs I'm totin'
And I should not be woken
I'm the walkin' dead, but I'm just a talkin' head, a zombie floatin'
But I got your mom deep-throatin'
I'm out my Ramen Noodle
We have nothin' in common, poodle
I'm a Doberman, pinch yourself in the arm and pay homage, pupil
It's me, my honesty's brutal
But it's honestly futile if I don't utilize what I do though
For good at least once in a while
So I wanna make sure somewhere in this chicken scratch I scribble and doodle enough rhymes
To maybe try to help get some people through tough times
But I gotta keep a few punchlines
Just in case 'cause even you unsigned
Rappers are hungry lookin' at me like it's lunchtime
I know there was a time where once I
Was king of the underground
But I still rap like I'm on my Pharoahe Monch grind
So I crunch rhymes, but sometimes when you combine
Appeal with the skin color of mine
You get too big and here they come tryin'
To censor you like that one line
I said on ""I'm Back"" from The Mathers LP 1 when I
Tried to say I'll take seven kids from Columbine
Put 'em all in a line, add an AK-47, a revolver and a 9
See if I get away with it now that I ain't as big as I was, but I'm
Morphin' into an immortal, comin' through the portal
You're stuck in a time warp from 2004 though
And I don't know what the fuck that you rhyme for
You're pointless as Rapunzel with fuckin' cornrows
You write normal? Fuck being normal!
And I just bought a new raygun from the future
Just to come and shoot ya, like when Fabolous made Ray J mad
'Cause Fab said he looked like a fag at Mayweather's pad
Singin' to a man while he played piano
Man, oh man, that was a 24/7 special on the cable channel
So Ray J went straight to the radio station
The very next day, ""Hey Fab, I'ma kill you!""
Lyrics comin' at you at supersonic speed (J.J. Fad)
Uh, summa-lumma, dooma-lumma, you assumin' I'm a human
What I gotta do to get it through to you I'm superhuman?
Innovative and I'm made of rubber so that anything you say is ricochetin' off of me and it'll glue to you and
I'm devastating, more than ever demonstrating
How to give a motherfuckin' audience a feeling like it's levitating
Never fading, and I know the haters are forever waiting
For the day that they can say I fell off, they'll be celebrating
'Cause I know the way to get 'em motivated
I make elevating music, you make elevator music
""Oh, he's too mainstream.""
Well, that's what they do when they get jealous, they confuse it
""It's not hip-hop, it's pop,""—'cause I found a hella way to fuse it
With rock, shock rap with Doc
Throw on ""Lose Yourself"" and make 'em lose it
""I don't know how to make songs like that
I don't know what words to use.""
Let me know when it occurs to you
While I'm rippin' any one of these verses that versus you
It's curtains, I'm inadvertently hurtin' you
How many verses I gotta murder to
Prove that if you were half as nice, your songs you could sacrifice virgins too?!
Ugh, school flunky, pill junkie
But look at the accolades these skills brung me
Full of myself, but still hungry
I bully myself 'cause I make me do what I put my mind to
And I'm a million leagues above you
Ill when I speak in tongues, but it's still tongue-in-cheek, fuck you
I'm drunk, so, Satan, take the fucking wheel
I'ma sleep in the front seat
Bumpin' Heavy D and the Boyz, still ""Chunky but Funky""
But in my head there's something I can feel tugging and struggling
Angels fight with devils and here's what they want from me
They're askin' me to eliminate some of the women hate
But if you take into consideration the bitter hatred
I have, then you may be a little patient
And more sympathetic to the situation
And understand the discrimination
But fuck it, life's handin' you lemons? Make lemonade then!
But if I can't batter the women
How the fuck am I supposed to bake them a cake then?!
Don't mistake him for Satan; it's a fatal mistake
If you think I need to be overseas and take a vacation
To trip a broad, and make her fall on her face and
Don't be a retard—be a king? Think not
Why be a king when you can be a god?6.6KEmbedShare URLCopyEmbedCopy"
3,4VywXu6umkIQ2OS0m1I79y,71,Better Together,0.868,0.347,0.0536,2e-05,110.059,0.9881,0.038,0.16,0.803,"[Verse 1]
A 40 HP Johnson on a flat bottom metal boat
Coke cans and BB guns, barbed wire and old fence posts
8-point bucks in autumn and freshly cut cornfields
One arm out the window and one hand on the wheel

[Chorus]
Some things just go better together and probably always will
Like a cup of coffee and a sunrise, Sunday drives and time to kill
What's the point of this ol' guitar if it ain't got no strings?
Or pourin' your heart into a song that you ain't gonna sing?
It's a match made up in heaven, like good ol' boys and beer
And me, as long as you're right here

[Verse 2]
Your license in my wallet when we go out downtown
Your lipstick's stained every coffee cup that I got in this house
The way you say, ""I love you, too"" is like rain on an old tin roof
And your hand fits right into mine like a needle in a groove

[Chorus]
Some things just go better together and probably always will
Like a cup of coffee and a sunrise, Sunday drives and time to kill
What's the point of this ol' guitar if it ain't got no strings?
Or pourin' your heart into a song that you ain't gonna sing?
It's a match made up in heaven, like good ol' boys and beer
And me, as long as you're right here
[Bridge]
Sometimes we're oil and water
But I wouldn't have it any other way
And if I'm being honest
Your first and my last name

[Chorus]
Would just sound better together and probably always will
Like a cup of coffee and a sunrise, Sunday drives and time to kill
What's the point of this ol' guitar if it ain't got no strings?
Or pourin' your heart into a song that you ain't gonna sing?
It's a match made up in heaven, like good ol' boys and beer
And me, as long as you're right here
And me, as long as you're right here16EmbedShare URLCopyEmbedCopy"
4,4wLZ4zPM9c4oe1VV8ejdWV,67,Home,0.608,0.37,0.0306,1.87e-05,127.631,-0.9932,0.177,0.117,0.706,"[Intro]
Yeah
Yeah
Yeah

[Verse 1]
Your man on the road, he doin' promo
You said, ""Keep our business on the low-low""
I'm just tryna get you out the friend zone
'Cause you look even better than the photos
I can't find your house, send me the info
Drivin' through the gated residential
Found out I was comin', sent your friends home
Keep on tryna hide it, but your friends know

[Chorus]
I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe
[Verse 2]
I'ma let you know and keep it simple
Tryna keep it up don't seem so simple
I just fucked two bitches 'fore I saw you
And you gon' have to do it at my tempo
Always tryna send me off to rehab
Drugs started feelin' like it's decaf
I'm just tryna live life for the moment
And all these motherfuckers want a relapse

[Chorus]
I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

[Bridge]
Hills have eyes, the hills have eyes
Who are you to judge? Who are you to judge?
Hide your lies, girl, hide your lies (Hide your lies, oh, baby)
Only you to trust, only you
[Chorus]
I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

[Outro]
Ewedihalehu
Yene konjo, ewedihalehu
Yene fikir, fikir, fikir, fikir
Yene fikir, fikir, fikir, fikir
Ewedihalehu
Yene konjo, ewedihalehu...1.8KEmbedShare URLCopyEmbedCopy"
5,6dGnYIeXmHdcikdzNNDMm2,83,Here Comes The Sun ,0.557,0.54,0.0347,0.00248,129.171,0.9811,0.012,0.154,0.833,"[Chorus]
Here comes the sun, doo da doo doo
Here comes the sun, and I say
It's all right

[Verse 1]
Little darling, it's been a long cold lonely winter
Little darling, it feels like years since it's been here

[Chorus]
Here comes the sun, doo da doo doo
Here comes the sun, and I say
It's all right

[Verse 2]
Little darling, the smile's returning to the faces
Little darling, it seems like years since it's been here

[Chorus]
Here comes the sun
Here comes the sun, and I say
It's all right

[Bridge]
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
[Verse 3]
Little darling, I feel that ice is slowly melting
Little darling, it seems like years since it's been clear

[Chorus]
Here comes the sun, doo da doo doo
Here comes the sun, and I say
It's all right

[Outro]
Here comes the sun, doo da doo doo
Here comes the sun
It's all right
It's all right53EmbedShare URLCopyEmbedCopy"
6,7tqhbajSfrz2F7E1Z75ASX,81,Ain't No Mountain High Enough,0.663,0.6,0.032,0.0,129.991,0.9945,0.033,0.236,0.73,"[Verse 1: Marvin Gaye]
Listen, baby
Ain't no mountain high
Ain't no valley low
Ain't no river wide enough, baby

[Tammi Terrell]
If you need me, call me
No matter where you are
No matter how far (Don't worry, baby)
Just call my name
I'll be there in a hurry
You don't have to worry
Cause baby there

[Chorus: Marvin Gaye & Tammi Terrell]
Ain't no mountain high enough
Ain't no valley low enough
Ain't no river wide enough
To keep me from getting to you, babe

[Verse 2: Marvin Gaye]
Remember the day
I set you free
I told you you could always count on me, darling
From that day on, I made a vow
I'll be there when you want me
Someway, somehow
Oh baby there
[Chorus: Marvin Gaye & Tammi Terrell]
Ain't no mountain high enough
Ain't no valley low enough
Ain't no river wide enough
To keep me from getting to you, babe

[Bridge: Marvin Gaye]
Oh no, darling

[Tammi Terrell]
No wind, no rain
Nor winter storm
Can't stop me, baby

[Marvin Gaye]
No, no baby

[Tammi Terrell]
Cause you are my goal

[Marvin Gaye]
If you're ever in trouble
I'll be there on the double
Just send for me

[Marvin Gaye & Tammi Terrell]
Oh, baby!
[Verse 3]
My love is alive
Way down in my heart
Although we are miles apart

[Marvin Gaye]
If you ever need a helping hand
I'll be there on the double
Just as fast as I can

[Chorus: Marvin Gaye & Tammi Terrell]
Don't you know that there...
Ain't no mountain high enough
Ain't no valley low enough
Ain't no river wide enough
To keep me from getting to you, baby
Ain't no mountain high enough
Ain't no valley low enough
Ain't no river wide enough
Ain't no mountain high enough
Ain't no valley low enough34EmbedShare URLCopyEmbedCopy"
7,4HHge4zAyIw3pkrtFzmwCl,64,So Far Away,0.49,0.172,0.0372,3.32e-05,143.837,0.9982,0.069,0.229,0.702,"[Verse 1: Jamie Scott]
Light 'em up, light 'em up
Tell me where you are, tell me where you are
The summer nights, the bright lights
And the shooting stars, they break my heart

[Pre-Chorus 1: Jamie Scott]
I'm calling you now, but you're not picking up
Your shadows so close if you are still in love
Then light a match, light a match
Baby, in the dark, show me where you are

[Chorus: Jamie Scott]
Oh, love
How I miss you every single day when I see you on those streets
Oh, love
Tell me there's a river I can swim that will bring you back to me
'Cause I don't know how to love someone else
I don't know how to forget your face
Oh, love
God, I miss you every single day and now you're so far away

[Post-Chorus: Jamie Scott]
So far away

[Verse 2: Romy Dya]
It's breaking me, I'm losing you
We were far from perfect, but we were worth it
Too many fights, and we cried, but never said we're sorry
Stop saying you love me
[Pre-Chorus 2: Romy Dya]
You're calling me now, but I can't pick up
Your shadow's too close, and I'm still in love
The summer's over now, but somehow, it still breaks my heart
We could have had the stars, oh

[Chorus: Jamie Scott & Romy Dya / Jamie Scott]
Oh, love
How I miss you every single day when I see you on those streets
Oh, love
Tell me there's a river I can swim that will bring you back to me
'Cause I don't know how to love someone else
I don't know how to forget your face
Oh, love
God, I miss you every single day and now you're so far away

[Post-Chorus: Romy Dya /  Romy Dya & Jamie Scott]
So far away
So far away
Oh, so far away
So far away

[Outro: Romy Dya]
Oh, love
How I miss you every single day when I see you on those streets
Oh, love
Tell me there's a river I can swim that will bring you back to me
'Cause I don't know how to love someone else
I don't know how to forget your face
Oh, love
God, I miss you every single day when you're so far away54EmbedShare URLCopyEmbedCopy"
8,1aj4GXfmEYXfdVZohCpNKu,70,Stand by Me,0.883,0.464,0.0591,1.51e-05,111.548,-0.2481,0.043,0.031,0.927,"[Intro]

[Verse 1]
When the night has come
And the land is dark
And the moon is the only light we'll see
No, I won't be afraid
Oh, I won't be afraid
Just as long as you stand, stand by me

[Chorus]
So darlin', darlin', stand by me
Oh, stand by me
Oh, stand
Stand by me, stand by me

[Verse 2]
If the sky that we look upon
Should tumble and fall
Or the mountains should crumble to the sea
I won't cry, I won't cry
No, I won't shed a tear
Just as long as you stand, stand by me

[Chorus]
And darlin', darlin', stand by me
Oh, stand by me
Woah, stand now
Stand by me, stand by me
[Interlude]

[Chorus]
Darlin', darlin', stand by me
Oh, stand by me
Oh, stand now
Stand by me, stand by me

Whenever you're in trouble won't you stand by me
Oh, stand by me
Woah, just stand now
Oh, stand, stand by me83EmbedShare URLCopyEmbedCopy"
9,1qhp5owrFGeZ5Jgin28nwR,68,You've Got a Friend,0.473,0.263,0.0336,4.41e-05,169.094,0.9902,0.061,0.177,0.762,"[Verse 1]
When you're down and troubled
And you need some loving care
And nothing, nothing is going right
Close your eyes and think of me
And soon I will be there
To brighten up even your darkest night

[Chorus]
You just call out my name
And you know wherever I am
I'll come running
To see you again
Winter, spring, summer or fall
All you have to do is call
And I'll be there
You've got a friend

[Verse 2]
If the sky above you
Grows dark and full of clouds
And that old North wind begins to blow
Keep your head together
And call my name out loud
Soon you'll hear me knocking at your door
[Chorus]
You just call out my name
And you know wherever I am
I'll come running, a-running, yeah, yeah-eah
To see you again
Winter, spring, summer or fall
All you have to do is call
And I'll be there
Yes I will

[Bridge]
Now ain't it good to know that you've got a friend
When people can be so cold
They'll hurt you, yes, and desert you
And take your soul if you let them
Oh, but don't you let them

[Chorus]
You just call out my name
And you know wherever I am
I'll come running, a-running, yeah, yeah-eah
To see you again
Winter, spring, summer or fall
All you have to do is call
And I'll be there, yes I will (oh, yes I will)
[Outro]
You've got a friend
You've got a friend
Ain't it good to know
You've got a friend
Ain't it good to know
Ain't it good to know
Ain't it good to know
You've got a friend
Oh, yeah now
You've got a friend
Yeah baby
You've got a friend
Oh, yeah
You've got a friend11EmbedShare URLCopyEmbedCopy"
