,track_uri,popularity,name,danceability,energy,speechiness,instrumentalness,tempo,sentiment,negative,positive,neutral,lyrics
0,0bYg9bo50gSsH3LtXe2SQn,93,All I Want for Christmas Is You,0.336,0.627,0.0384,0.0,150.273,0.923,0.086,0.076,0.838,"[Intro]
I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you, yeah

[Verse 1]
I don't want a lot for Christmas
There is just one thing I need (And I)
Don't care about the presents
Underneath the Christmas tree
I don't need to hang my stocking
There upon the fireplace (Ah)
Santa Claus won't make me happy
With a toy on Christmas Day

[Chorus]
I just want you for my own (Ooh)
More than you could ever know (Ooh)
Make my wish come true
All I want for Christmas is you
You, baby
[Verse 2]
Oh, I won't ask for much this Christmas
I won't even wish for snow (And I)
I'm just gonna keep on waiting
Underneath the mistletoe
I won't make a list and send it
To the North Pole for Saint Nick (Ah)
I won't even stay awake to
Hear those magic reindeer click

[Chorus]
'Cause I just want you here tonight (Ooh)
Holding on to me so tight (Ooh)
What more can I do?
Oh baby, all I want for Christmas is you
You, baby

[Bridge]
Oh, all the lights are shining
So brightly everywhere (So brightly, baby)
And the sound of children's
Laughter fills the air (Oh, oh yeah)
And everyone is singing (Oh yeah)
I hear those sleigh bells ringing (Oh)
Santa, won't you bring me the one I really need? (Yeah, oh, oh)
Won't you please bring my baby to me?
[Verse 3]
Oh, I don't want a lot for Christmas
This is all I'm asking for (Ah)
I just wanna see my baby
Standing right outside my door

[Chorus]
Oh, I just want you for my own (Ooh)
More than you could ever know (Ooh)
Make my wish come true
Oh baby, all I want for Christmas is you

[Outro]
You, baby
All I want for Christmas is you, baby (You)
All I want for Christmas is you, baby (Ah, oh, ah, oh)
All I want for Christmas is you, baby (You)
All I want for Christmas is you, baby (All I really want, baby, ooh)
All I want for Christmas is you, baby (All I want, all I really want is you)100EmbedShare URLCopyEmbedCopy"
1,0QPYn15U8IQHKcH2LDfrek,1,Last Christmas,0.735,0.645,0.0273,0.0,106.753,0.997,0.079,0.18,0.741,"[Intro]
Ah, aha
Ooh, ohh
Ohh

[Chorus]
Last Christmas, I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I'll give it to someone special
Last Christmas, I gave you my heart
But the very next day, you gave it away (You gave it away)
This year, to save me from tears
I'll give it to someone special (Special)

[Verse 1]
Once bitten and twice shy
I keep my distance, but you still catch my eye
Tell me, baby, do you recognize me?
Well, it's been a year, it doesn't surprise me

[Verse 2]
""Merry Christmas"" I wrapped it up and sent it
With a note saying, ""I love you"", I meant it
Now I know what a fool I've been
But if you kissed me now, I know you'd fool me again
[Chorus]
Last Christmas, I gave you my heart
But the very next day, you gave it away (You gave it away)
This year, to save me from tears
I'll give it to someone special (Special)
Last Christmas, I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I'll give it to someone special (Special, oh)
Oh, oh, baby

[Verse 3]
A crowded room, friends with tired eyes
I'm hiding from you and your soul of ice
My God, I thought you were someone to rely on
Me? I guess I was a shoulder to cry on

[Verse 4]
A face of a lover with a fire in his heart
A man under cover but you tore me apart
Ooh-hoo
Now I've found a real love, you'll never fool me again

[Chorus]
Last Christmas, I gave you my heart
But the very next day, you gave it away (You gave it away)
This year, to save me from tears
I'll give it to someone special (Special)
Last Christmas, I gave you my heart
But the very next day, you gave it away
This year, to save me from tears (Ohh)
I'll give it to someone special (Special)
[Verse 4]
A face of a lover with a fire in his heart (I gave you my heart)
A man under cover but you tore him apart
Maybe next year
I'll give it to someone, I'll give it to someone special
Special...
Someone, someone, I'll give it to someone, someone special

[Outro]
Who give me something in return
I'll give it to someone—
Hold my heart and watch it burn
I'll give it to someone—

I'll give it to someone—
I'll give it to someone special

I thought you were here to stay (Oh, oh)
How could you love me for a day
I thought you were someone special

Gave you my heart

I'll give it to someone—
I'll give it to someone—
Last Christmas
I gave you my heart
You gave it away

I'll give it to someone—
I'll give it to someone—

La, la
La, la, la, la, la
La, la
La, la, la, la
La, la, la, la, la, la, la13EmbedShare URLCopyEmbedCopy"
2,1ADjWm8QNhgNV8yCNNgQ1T,8,Santa Tell Me,0.464,0.63,0.182,0.0,132.96,0.998,0.022,0.182,0.796,"[Chorus]
Santa, tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa, tell me if he really cares
'Cause I can't give it all away if he won't be here next year

[Verse 1]
Feeling Christmas all around
And I'm trying to play it cool
But it's hard to focus when I see him walking 'cross the room
""Let It Snow"" is blasting out
But I won't get in the mood
I'm avoiding every mistletoe until I know it's

[Pre-Chorus]
True love that he thinks of
So next Christmas I'm not all alone, boy

[Chorus]
Santa, tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa, tell me if he really cares
'Cause I can't give it all away if he won't be here next year

[Verse 2]
I've been down this road before
Fell in love on Christmas night
But on New Year's Day, I woke up and he wasn't by my side
Now I need someone to hold
Be my fire in the cold
But it's hard to tell if this is just a fling or if it's
[Pre-Chorus]
True love that he thinks of
So next Christmas I'm not all alone, boy

[Chorus]
Santa, tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa, tell me if he really cares
'Cause I can't give it all away if he won't be here next year

[Bridge]
Oh, I wanna have him beside me, like oh-woo-oh
On the 25th, by that fireplace, oh-woo-oh
But I don't want a new broken heart
This year I've got to be smart
Oh, baby
(Santa, tell me, Santa, tell me)
If he will be, if he will be here
(Santa, tell me, Santa, tell me)
Oh, woah

[Chorus]
Santa, tell me (Santa, tell me) if you're really there ('Cause I really care)
Don't make me fall in love again if he won't be here next year
Santa, tell me (Tell me) if he really cares (Tell me, boy)
'Cause I can't give it all away if he won't be here next year
[Outro]
Santa, tell me (Tell me) if you're really there (Santa, baby)
Don't make me fall in love again if he won't be here next year (If he won't be, if he won't be here)
Santa, tell me (Tell me) if he really cares (Do you care?)
'Cause I can't give it all away if he won't be here next year57EmbedShare URLCopyEmbedCopy"
3,5a1iz510sv2W9Dt1MvFd5R,87,It's Beginning to Look a Lot like Christmas,0.339,0.214,0.0375,7.47e-06,94.775,0.9927,0.0,0.193,0.807,"[Verse 1]
It's beginning to look a lot like Christmas
Everywhere you go;
Take a look at the five and ten
It's glistening once again
With candy canes and silver lanes aglow
It's beginning to look a lot like Christmas
Toys in every store
But the prettiest sight to see is the holly that will be
On your own front door

[Verse 2]
A pair of hop-a-long boots and a pistol that shoots
Is the wish of Barney and Ben;
Dolls that will talk and will go for a walk
Is the hope of Janice and Jen;
And Mom and Dad can hardly wait for school to start again
It's beginning to look a lot like Christmas
Everywhere you go;
There's a tree in the Grand Hotel, one in the park as well
It's the sturdy kind that doesn't mind the snow

[Verse 3]
It's beginning to look a lot like Christmas;
Soon the bells will start
And the thing that will make them ring is the carol that you sing
Right within your heart
It's beginning to look a lot like Christmas
Toys in every store
But the prettiest sight to see is the holly that will be
On your own front door
[Outro]
Sure it's Christmas once more5EmbedShare URLCopyEmbedCopy"
4,1XBc4r6ltXjkFJBrsttwIF,3,Rockin' Around The Christmas Tree ,0.691,0.402,0.0599,0.0,139.752,0.9868,0.014,0.254,0.732,"[Verse 1]
Rockin' around the Christmas tree
At the Christmas party hop
Mistletoe hung where you can see
Every couple tries to stop

[Verse 2]
Rockin' around the Christmas tree
Let the Christmas spirit ring
Later we'll have some pumpkin pie
And we'll do some caroling

[Pre-Chorus]
You will get a sentimental feeling when you hear
Voices singing, ""Let's be jolly
Deck the halls with boughs of holly!""

[Chorus]
Rockin' around the Christmas tree
Have a happy holiday
Everyone's dancing merrily
In the new old fashioned way

[Instrumental Break]

[Pre-Chorus]
You will get a sentimental feeling when you hear
Voices singing, ""Let's be jolly
Deck the halls with boughs of holly!""
[Chorus]
Rockin' around the Christmas tree
Have a happy holiday
Everyone's dancing merrily
In the new old fashioned way7EmbedShare URLCopyEmbedCopy"
5,2wCPMWR3y4xclijuCcLJv7,1,Jingle Bell Rock,0.709,0.506,0.0377,0.0,119.345,0.7351,0.0,0.056,0.944,"Jingle bell, jingle bell, jingle bell rock
Jingle bells swing n jingle bells ring
Snowing and blowing up bushels of fun
Now the jingle hop has begun

Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancing and prancing in Jingle Bell Square
In the frosty air

What a bright time, it's the right time
To rock the night away
Jingle bell time is a swell time
To go riding in a one-horse sleigh
Giddy-up jingle horse, pick up your feet
Jingle around the clock

Mix and a-mingle in the jingling beat
That's the jingle bell
That's the jingle bell
That's the jingle bell rock3EmbedShare URLCopyEmbedCopy"
6,3nAp4IvdMPPWEH9uuXFFV5,84,Underneath the Tree,0.509,0.812,0.0537,1.99e-05,159.876,0.9904,0.044,0.159,0.798,"[Chorus]
You're here where you should be
Snow is falling as the carolers sing
It just wasn't the same
Alone on Christmas day
Presents, what a beautiful sight
Don't mean a thing if you ain't holding me tight
You're all that I need
Underneath the tree

[Verse 1]
Tonight, I'm gonna hold you close
Make sure that you know
I was lost before you
Christmas was cold and grey
Another holiday
Alone to celebrate

[Pre-Chorus]
But then, one day, everything changed
You're all I need
Underneath the tree

[Chorus]
You're here where you should be
Snow is falling as the carolers sing
It just wasn't the same
Alone on Christmas day
Presents, what a beautiful sight
Don't mean a thing if you ain't holding me tight
You're all that I need
Underneath the tree
[Verse 2]
I found what I was looking for
A love that's meant for me
A heart that's mine completely
Knocked me right off my feet
And this year I will fall
With no worries at all

[Pre-Chorus]
'Cause you are near and everything's clear
You're all I need
Underneath the tree

[Chorus]
You're here where you should be
Snow is falling as the carolers sing
It just wasn't the same
Alone on Christmas day
Presents, what a beautiful sight
Don't mean a thing if you ain't holding me tight
You're all that I need
Underneath the tree

[Saxophone Solo]

[Bridge]
And then one day everything changed
You're all I need
Underneath the tree, yeah
[Chorus]
You're here where you should be
Snow is falling as the carolers sing (Oh, yeah, yeah)
It just wasn't the same (Oh, yeah, yeah, yeah)
Alone on Christmas day
Presents, what a beautiful sight (Oh, you're all I need)
Don't mean a thing if you ain't holding me tight (Underneath the tree)
You're all that I need (Underneath the tree, yeah)
Underneath the tree, tonight
Oh, you're all I need
Underneath, underneath the tree2EmbedShare URLCopyEmbedCopy"
7,1prYSRBfwPvE3v8jSRZL3Q,11,"Let It Snow, Let It Snow, Let It Snow",0.504,0.287,0.0346,1.9e-06,133.928,0.8817,0.134,0.168,0.698,"Oh, the weather outside is frightful
But the fire is so delightful
And since we've no place to go
Let it snow, let it snow, let it snow

Man, it doesn't show signs of stopping
And I've brought me some corn for popping
The lights are turned way down low
Let it snow, let it snow

When we finally kiss goodnight
How I'll hate going out in the storm
But if you really hold me tight
All the way home I'll be warm

And the fire is slowly dying
And, my dear, we're still goodbying
But as long as you love me so
Let it snow, let it snow, and snow

When we finally kiss goodnight
How I'll hate going out in the storm
But if you really grab me tight
All the way home I'll be warm

Oh, the fire is slowly dying
And, my dear, we're still goodbying
But as long as you love me so
Let it snow, let it snow, let it snow4EmbedShare URLCopyEmbedCopy"
8,5hslUAKq9I9CG2bAulFkHN,87,It's the Most Wonderful Time of the Year,0.24,0.598,0.0369,0.0,201.629,0.9964,0.043,0.29,0.667,"[Chorus]
It's the most wonderful time of the year
With the kids jingle belling
And everyone telling you ""be of good cheer""
It's the most wonderful time of the year

[Verse 1]
It's the hap-happiest season of all
With those holiday greetings
And gay happy meetings when friends come to call
It's the hap-happiest season of all

[Pre-Chorus]
There'll be parties for hosting
Marshmallows for toasting
And caroling out in the snow
There'll be scary ghost stories
And tales of the glories
Of Christmases long, long ago

[Chorus]
It's the most wonderful time of the year
There'll be much mistletoeing
And hearts will be glowing when loved ones are near
It's the most wonderful time of the year
[Pre-Chorus]
There'll be parties for hosting
Marshmallows for toasting
And caroling out in the snow
There'll be scary ghost stories
And tales of the glories
Of Christmases long, long ago

[Chorus]
It's the most wonderful time of the year
There'll be much mistletoeing
And hearts will be glowing when loved ones are near
It's the most wonderful time
It's the most wonderful time
It's the most wonderful time
It's the most wonderful time of the yearEmbedShare URLCopyEmbedCopy"
9,5ASM6Qjiav2xPe7gRkQMsQ,84,Sleigh Ride,0.529,0.772,0.0287,2.21e-06,91.751,0.9961,0.077,0.195,0.727,"Just hear those sleigh bells jingling
Ring-ting-tingling too
Come on, it's lovely weather
For a sleigh ride together with you
Outside the snow is falling
And friends are calling, ""Yoo hoo""
Come on, it's lovely weather
For a sleigh ride together with you
Giddy yap, giddy yap, giddy yap
Let's go, let's look at the show
We're riding in a wonderland of snow
Giddy yap, giddy yap, giddy yap
It's grand, just holding your hand
We're riding along with a song
Of a wintry fairy land
Our cheeks are nice and rosy
And comfy cozy are we

We're snuggled up together
Like two birds of a feather would be
Let's take that road before us
And sing a chorus or two
Come on, it's lovely weather
For a sleigh ride together with you
There's a birthday party
At the home of Farmer Gray
It'll be the perfect ending of a perfect day
We'll be singing the songs
We love to sing without a single stop
At the fireplace while we watch
The chestnuts pop; Pop! Pop! Pop!
There's a happy feeling
Nothing in the world can buy
When they pass around the chocolate
And the pumpkin pie
It'll nearly be like a picture print
By Currier and Ives
These wonderful things are the things
We remember all through our lives!
Just hear those sleigh bells jingling
Ring-ting-tingling too
Come on, it's lovely weather
For a sleigh ride together with you
Outside the snow is falling
And friends are calling, ""Yoo hoo""
Come on, it's lovely weather
For a sleigh ride together with you
Giddy yap, giddy yap, giddy yap
Let's go, let's look at the show
We're riding in a wonderland of snow
Giddy yap, giddy yap, giddy yap
It's grand, just holding your hand
We're riding along with a song
Of a wintry fairy land
Our cheeks are nice and rosy
And comfy cozy are we
We're snuggled up together
Like two birds of a feather would be
Let's take that road before us
And sing a chorus or two
Come on, it's lovely weather
For a sleigh ride together with you
Giddy yap, giddy yap, giddy yap
Giddy yap, giddy yap, giddy yap
Whoa!1EmbedShare URLCopyEmbedCopy"
